,price,Modellår,Kilometer,farge,effekt,batterikapasitet,feature_model,url
171,279034,2016,81637,Grå,252 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
172,249034,2017,44000,Blå,116 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
173,116729,2004,240000,Mørk grå metallic,177 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
174,119034,2012,82900,Universum blue metallic,109 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
175,255670,2020,13914,Blå Torden,135 Hk,52 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
176,181009,2018,69493,Hvit og turkis,111 Hk,30 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
177,171629,2009,150000,Metallic,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
178,173034,2016,85873,Blå,204 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
179,241383,2013,210000,Grå,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
180,214034,2011,241600,Sort Metallic,204 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
181,204034,2018,82500,Svart,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
182,286681,2019,42500,Hvit,182 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
183,114034,2011,166900,Svart,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
184,229000,2016,88800,Hvit metallic,189 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
185,109900,2013,136377,Dark Grey met .,109 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
186,140383,2016,134000,Svart,120 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
187,121009,2016,117000,Grå,109 Hk,30 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
188,154034,2013,160102,Rød,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
189,106729,2009,242000,Hvit,185 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
190,269034,2017,65200,Hurracane grå,165 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
191,237900,2010,112918,Teneorite Grey met .,184 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
192,139034,2011,192000,Grå metallic,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
193,135000,2014,98000,Hvit,115 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
194,134034,2014,93840,Svart,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
195,139034,2012,159000,Metallic,175 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
196,210009,2017,93000,Blå,170 Hk,27 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
197,289034,2016,11250,Brun,,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
198,230729,2010,195000,Black Sapphire Metallic,204 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
199,256670,2020,61000,Svart,143 Hk,44 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
200,134034,2015,129648,Svart,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
201,219000,2016,80000,Rubinsvart metallic,189 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
202,119900,2010,252600,METALLIC,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
203,140000,2015,146000,Grå,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
204,179034,2015,74600,Fjellgrå M,156 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
205,120383,2011,212000,Grå metallic,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
206,169009,2016,77075,Fluid svart,170 Hk,75 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
207,117880,2015,45000,Grå,110 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
208,226729,2006,182000,Svart,223 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
209,149034,2011,162000,Blå,184 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
210,109990,2013,128403,Light white,111 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
211,193982,2012,144700,Havanna Metallic,218 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
212,225000,2018,44200,Safirblå,131 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
213,132880,2017,37690,Grå metallic,101 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
214,209034,2016,178000,Blå,181 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
215,219034,2014,109000,Blå,184 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
216,274034,2016,73000,Brilliant blue metallic finish (896U),279 Hk,7 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
217,199999,2016,103000,Svart,131 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
218,101383,2011,140000,Sølvgrå,143 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
219,216800,2020,53000,Svart,130 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
220,183034,2013,132637,Sølv,143 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
221,149034,2013,127000,Dark Oak,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
222,219900,2020,33656,Svart,102 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
223,220000,2014,61000,Sølvgrå,122 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
224,224034,2017,72000,Grå Metallic,204 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
225,150000,1989,280000,Svart,300 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
226,199009,2017,48950,Blå,115 Hk,85 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
227,193034,2013,165000,Grå,179 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
228,219034,2013,106500,Lavagrå Met. pearl,177 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
229,206009,2018,112987,Svart,109 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
230,164034,2016,99500,Svart,204 Hk,8 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
231,116729,1978,140000,Rød,101 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
232,134729,2010,175000,Blå,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
233,179500,2015,53000,Svart,120 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
234,256009,2019,70500,Tungsten sølv,136 Hk,36 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
235,229034,2012,100300,Sølv med svart glass tak,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
236,188982,2011,154000,Grå,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
237,149729,2010,191000,Svart,211 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
238,158900,2020,23000,Orange metallic,82 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
239,124009,2014,95000,Grå,170 Hk,125 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
240,285000,2018,76000,Sølv,202 Hk,12 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
241,114034,2014,86900,Blå,109 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
242,270000,2013,182891,Perle Hvit,306 Hk,85 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
243,229990,2012,169000,Sølv.Met.,117 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
244,123034,2013,290000,Lavagrå,143 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
